iter	Passed	Remaining
0	192	192766
1	194	96983
2	195	65005
3	196	48977
4	197	39309
5	198	32884
6	199	28321
7	200	24914
8	202	22265
9	203	20123
10	204	18354
11	205	16886
12	206	15642
13	206	14576
14	208	13680
15	210	12927
16	212	12274
17	214	11723
18	216	11193
19	219	10744
20	221	10325
21	222	9909
22	225	9573
23	227	9270
24	230	8979
25	232	8693
26	233	8412
27	234	8156
28	236	7912
29	237	7690
30	239	7483
31	240	7288
32	242	7116
33	244	6956
34	246	6795
35	247	6636
36	249	6484
37	250	6338
38	251	6197
39	252	6067
40	254	5946
41	255	5826
42	256	5712
43	257	5605
44	259	5499
45	260	5397
46	261	5298
47	262	5201
48	263	5104
49	264	5017
50	265	4934
51	266	4855
52	267	4774
53	268	4699
54	269	4633
55	271	4569
56	272	4506
57	273	4445
58	274	4385
59	276	4325
60	277	4270
61	278	4217
62	280	4168
63	281	4118
64	282	4068
65	284	4020
66	285	3972
67	286	3924
68	287	3878
69	288	3832
70	289	3788
71	290	3744
72	291	3704
73	292	3663
74	293	3623
75	294	3585
76	295	3547
77	297	3516
78	299	3486
79	300	3454
80	301	3423
81	302	3388
82	303	3351
83	304	3320
84	305	3288
85	306	3257
86	307	3228
87	308	3201
88	310	3175
89	311	3148
90	312	3121
91	313	3094
92	314	3067
93	315	3042
94	316	3018
95	318	2994
96	319	2970
97	320	2946
98	321	2924
99	322	2900
100	323	2876
101	324	2853
102	325	2835
103	326	2816
104	328	2800
105	329	2783
106	331	2766
107	332	2749
108	334	2731
109	335	2714
110	336	2695
111	337	2677
112	338	2658
113	339	2642
114	341	2624
115	342	2608
116	343	2590
117	344	2573
118	345	2558
119	346	2540
120	347	2524
121	348	2506
122	349	2490
123	350	2473
124	351	2457
125	352	2443
126	353	2429
127	354	2416
128	355	2402
129	357	2389
130	358	2375
131	359	2363
132	360	2350
133	361	2338
134	362	2325
135	364	2313
136	365	2300
137	366	2288
138	367	2277
139	368	2266
140	370	2257
141	371	2243
142	372	2232
143	373	2222
144	375	2211
145	376	2201
146	377	2190
147	378	2179
148	379	2168
149	381	2159
150	382	2149
151	383	2141
152	385	2132
153	386	2122
154	387	2112
155	388	2102
156	389	2093
157	391	2083
158	392	2075
159	393	2065
160	394	2054
161	395	2046
162	396	2037
163	398	2029
164	399	2021
165	400	2013
166	401	2005
167	403	1998
168	404	1990
169	405	1981
170	407	1974
171	408	1966
172	409	1959
173	411	1952
174	412	1943
175	413	1935
176	414	1926
177	415	1918
178	416	1910
179	417	1901
180	418	1893
181	419	1885
182	420	1877
183	421	1869
184	422	1861
185	423	1854
186	424	1847
187	426	1840
188	427	1833
189	428	1826
190	429	1818
191	430	1812
192	431	1804
193	432	1797
194	434	1791
195	435	1785
196	436	1778
197	437	1771
198	438	1765
199	439	1757
200	440	1751
201	441	1745
202	442	1738
203	443	1732
204	444	1725
205	445	1718
206	446	1711
207	447	1704
208	448	1697
209	449	1692
210	450	1685
211	451	1678
212	453	1676
213	454	1671
214	456	1665
215	457	1660
216	458	1654
217	459	1647
218	460	1641
219	461	1635
220	462	1629
221	463	1624
222	464	1618
223	465	1613
224	466	1608
225	468	1603
226	469	1597
227	470	1592
228	471	1587
229	472	1583
230	473	1577
231	474	1571
232	475	1566
233	476	1561
234	477	1555
235	479	1551
236	480	1546
237	481	1542
238	483	1538
239	484	1534
240	485	1529
241	486	1523
242	487	1519
243	488	1514
244	490	1510
245	491	1505
246	492	1500
247	493	1495
248	494	1491
249	495	1487
250	497	1483
251	498	1479
252	499	1475
253	500	1470
254	501	1465
255	502	1461
256	504	1457
257	505	1452
258	506	1448
259	507	1443
260	508	1439
261	509	1436
262	511	1432
263	512	1428
264	513	1424
265	514	1420
266	516	1416
267	517	1412
268	518	1408
269	519	1403
270	520	1399
271	521	1394
272	522	1391
273	523	1387
274	524	1384
275	526	1380
276	527	1376
277	528	1372
278	529	1368
279	530	1364
280	531	1359
281	532	1355
282	533	1351
283	534	1347
284	535	1343
285	536	1339
286	538	1336
287	539	1334
288	540	1330
289	541	1326
290	542	1322
291	543	1318
292	544	1314
293	545	1310
294	546	1306
295	547	1303
296	548	1299
297	549	1295
298	551	1291
299	552	1288
300	553	1285
301	554	1282
302	556	1279
303	557	1276
304	558	1272
305	559	1269
306	560	1265
307	561	1261
308	562	1258
309	563	1255
310	565	1252
311	566	1249
312	567	1246
313	568	1242
314	570	1239
315	571	1236
316	572	1233
317	573	1230
318	574	1226
319	576	1224
320	577	1221
321	578	1218
322	580	1216
323	581	1212
324	582	1209
325	583	1207
326	585	1204
327	586	1201
328	587	1197
329	588	1194
330	589	1190
331	590	1187
332	591	1184
333	592	1181
334	593	1178
335	595	1176
336	597	1174
337	598	1172
338	599	1169
339	600	1166
340	601	1163
341	603	1160
342	604	1158
343	605	1155
344	607	1152
345	608	1150
346	609	1147
347	610	1144
348	611	1141
349	613	1138
350	614	1136
351	615	1133
352	616	1129
353	617	1126
354	618	1123
355	619	1120
356	620	1117
357	622	1115
358	623	1113
359	624	1110
360	625	1107
361	627	1105
362	628	1102
363	629	1099
364	630	1096
365	631	1093
366	632	1090
367	633	1087
368	634	1084
369	635	1082
370	637	1080
371	638	1078
372	639	1075
373	640	1072
374	641	1069
375	642	1066
376	643	1063
377	644	1060
378	645	1057
379	646	1055
380	647	1052
381	649	1050
382	650	1048
383	651	1045
384	652	1042
385	653	1040
386	655	1037
387	656	1035
388	657	1033
389	659	1030
390	660	1028
391	662	1026
392	663	1024
393	664	1021
394	665	1019
395	666	1016
396	667	1013
397	668	1011
398	669	1008
399	670	1005
400	671	1003
401	672	1000
402	673	997
403	674	994
404	675	991
405	676	989
406	677	987
407	679	985
408	680	983
409	681	980
410	682	978
411	684	976
412	685	974
413	686	971
414	687	969
415	688	966
416	689	964
417	691	962
418	692	959
419	693	957
420	694	954
421	695	952
422	696	949
423	697	947
424	698	944
425	699	942
426	700	940
427	701	937
428	702	935
429	703	932
430	704	930
431	706	928
432	707	926
433	708	924
434	709	921
435	710	919
436	712	917
437	713	915
438	714	913
439	715	910
440	716	908
441	717	905
442	718	903
443	719	901
444	721	899
445	722	897
446	723	895
447	724	892
448	725	890
449	727	888
450	728	886
451	729	883
452	730	881
453	731	879
454	732	877
455	733	874
456	734	872
457	735	870
458	737	868
459	738	866
460	739	864
461	740	862
462	741	860
463	742	858
464	743	855
465	744	853
466	745	851
467	747	849
468	748	847
469	749	845
470	750	843
471	752	841
472	753	839
473	754	836
474	754	834
475	755	832
476	756	829
477	757	827
478	758	825
479	760	823
480	761	821
481	762	819
482	764	818
483	765	816
484	766	814
485	767	811
486	768	809
487	769	807
488	771	805
489	771	803
490	772	801
491	773	799
492	775	797
493	777	795
494	778	793
495	779	791
496	780	789
497	781	787
498	782	785
499	783	783
500	784	781
501	785	779
502	786	777
503	787	775
504	789	773
505	790	771
506	791	770
507	792	767
508	793	765
509	794	763
510	796	761
511	797	759
512	798	757
513	799	755
514	800	753
515	800	751
516	801	749
517	802	747
518	804	745
519	805	743
520	806	741
521	808	740
522	809	738
523	810	736
524	811	733
525	812	731
526	813	729
527	814	727
528	815	725
529	816	724
530	817	722
531	818	720
532	820	718
533	821	716
534	822	714
535	823	712
536	824	710
537	825	708
538	826	706
539	827	704
540	828	702
541	829	700
542	830	698
543	831	696
544	832	695
545	834	693
546	835	691
547	836	689
548	837	688
549	838	686
