iter	Passed	Remaining
0	1	133
1	3	157
2	6	196
3	7	181
4	8	163
5	9	152
6	12	170
7	14	168
8	17	179
9	20	188
10	22	184
11	24	181
12	27	186
13	30	188
14	32	185
15	34	181
16	36	177
17	38	174
18	39	170
19	42	170
20	44	167
21	46	163
22	48	161
23	50	158
24	51	154
25	53	151
26	55	148
27	56	145
28	58	144
29	60	142
30	62	138
31	63	135
32	65	132
33	67	130
34	68	127
35	70	125
36	72	123
37	74	122
38	77	120
39	78	118
40	80	115
41	81	111
42	82	109
43	83	106
44	85	103
45	86	101
46	87	98
47	89	96
48	91	95
49	94	94
50	96	93
51	99	92
52	102	91
53	105	90
54	107	87
55	109	86
56	112	84
57	115	83
58	118	82
59	120	80
60	122	78
61	124	76
62	127	74
63	130	73
64	134	72
65	137	70
66	139	68
67	141	66
68	144	65
69	146	62
70	149	60
71	151	58
72	152	56
73	154	54
74	156	52
75	158	50
76	160	47
77	161	45
78	163	43
79	164	41
80	165	38
81	166	36
82	167	34
83	169	32
84	170	30
85	171	27
86	172	25
87	173	23
88	175	21
89	176	19
90	177	17
91	179	15
92	180	13
93	181	11
94	182	9
95	183	7
96	184	5
97	185	3
98	186	1
99	187	0
